id;name;short_name;city;rang;victoires;nuls;defaites;buts_m;buts_e;date_crea;budget;titres
17;AC AJACCIO;ACA;Ajaccio;18;7;5;26;23;74;1910;22;0
2;AJ AUXERRE;AJA;Auxerre;17;8;11;19;35;63;1905;32;1
37;ANGERS SCO;SCO;Angers;20;4;6;28;33;81;1919;40;0
9;AS MONACO;ASM;Monaco;6;19;8;11;70;58;1924;240;8
44;STADE BRESTOIS 29;SB29;Brest;14;11;11;16;44;54;1950;48;0
40;CLERMONT FOOT 63;CF63;Clermont-Ferrand;8;17;8;13;45;49;1984;25;0
7;FC LORIENT;FCL;Lorient;10;15;10;13;52;53;1926;50;0
12;FC NANTES;FCN;Nantes;16;7;15;16;37;55;1943;75;8
158;LOSC LILLE;LOSC;Lille;5;19;10;9;65;44;1944;100;4
10;MONTPELLIER HÉRAULT SC;MHSC;Montpellier;12;15;5;18;65;62;1974;52;1
30;OGC NICE;OGCN;Nice;9;15;13;10;48;37;1904;100;4
159;OLYMPIQUE LYONNAIS;OL;Lyon;7;18;8;12;65;47;1950;250;7
1;OLYMPIQUE DE MARSEILLE;OM;Marseille;3;22;7;9;67;40;1899;250;9
13;PARIS SAINT-GERMAIN;PSG;Paris;1;27;4;7;89;40;1970;700;11
6;RC LENS;RCL;Lens;2;25;9;4;68;29;1906;62;1
41;STADE DE REIMS;SDR;Reims;11;12;15;11;45;45;1931;70;6
14;STADE RENNAIS FC;SRFC;Rennes;4;21;5;12;69;39;1901;90;0
15;RC STRASBOURG ALSACE;RCSA;Strasbourg;15;9;13;16;51;59;1906;45;1
16;TOULOUSE FC;TFC;Toulouse;13;13;9;16;51;57;1937;40;0
33;ESTAC TROYES;ESTAC;Troyes;19;4;12;22;45;81;1986;45;0




###
id;name;rang;victoires;nuls;defaites;buts_m;buts_e;date_crea;budget;titres
17;AC AJACCIO;18;7;5;26;23;74;1910;22;0
2;AJ AUXERRE;17;8;11;19;35;63;1905;32;1
37;ANGERS SCO;20;4;6;28;33;81;1919;40;0
9;AS MONACO;6;19;8;11;70;58;1924;240;8
44;STADE BRESTOIS 29;14;11;11;16;44;54;1950;48;0
40;CLERMONT FOOT 63;8;17;8;13;45;49;1984;25;0
7;FC LORIENT;10;15;10;13;52;53;1926;50;0
12;FC NANTES;16;7;15;16;37;55;1943;75;8
158;LOSC LILLE;5;19;10;9;65;44;1944;100;4
10;MONTPELLIER HÉRAULT SC;12;15;5;18;65;62;1974;52;1
30;OGC NICE;9;15;13;10;48;37;1904;100;4
159;OLYMPIQUE LYONNAIS;7;18;8;12;65;47;1950;250;7
1;OLYMPIQUE DE MARSEILLE;3;22;7;9;67;40;1899;250;9
13;PARIS SAINT-GERMAIN;1;27;4;7;89;40;1970;700;11
6;RC LENS;2;25;9;4;68;29;1906;62;1
41;STADE DE REIMS;11;12;15;11;45;45;1931;70;6
14;STADE RENNAIS FC;4;21;5;12;69;39;1901;90;0
15;RC STRASBOURG ALSACE;15;9;13;16;51;59;1906;45;1
16;TOULOUSE FC;13;13;9;16;51;57;1937;40;0
33;ESTAC TROYES;19;4;12;22;45;81;1986;45;0

